Name,HMIS Code,FacilityType,AgencyName,OperationalStatus,DistrictName,Latitude,Longitude,Address,ContactPhone,HasRefrigerator,HasPower,StaffCount,CatchmentRadius
Life Referral Medical Center,8963716781,clinic,,operational,Kampala,0.35105762,32.58555538,,,,,,
Saint.Francis Capital Clinic & Nursing Centre,4100092187,doctors,,,Kampala,0.25634555,32.63645374,"Ggaba Trading Centre Street, Kampala",,,,,
Subi Drug Shop,4041967763,clinic,,,Jinja,0.45351532,33.21898528,"Kamuli Road, Jinja",,,,,
NYAKABUNGO HEALTH CENTRE II,2547651,clinic,,,Rukungiri,-0.88411145,29.90671162,,,,,,
ACUMET HC III,11151161536,hospital,,,Kapelebyong,2.18181430,33.73381074,,,,,,
HEALTH CENTRE II,11056451943,clinic,,,Jinja,0.65763268,33.12286438,,,,,,
God's Will,3943958882,pharmacy,,,Mbale,1.07110627,34.20432745,"Mangho Road, mbale",,,,,
KIHEMBO HEALTH CENTRE II,11001734193,clinic,,,Kabarole,0.63010417,30.25504264,,,,,,
MWEYA,11001730403,clinic,,,Kasese,-0.18946307,29.89324123,,,,,,
Zomav Medical Centre,8632128770,clinic,private,,Zombo,2.51485665,30.91182829,,,,,2,
KYABAZAALA,11056451849,clinic,,,Mukono,0.61673956,32.91587705,,,,,,
Kings Medical Drug Shop,5594324680,pharmacy,Private,operational,Yumbe,3.60569169,31.23285996,,,,,0,
Dental Health Service,4114252281,clinic,,,Kampala,0.33942320,32.58862735,Kampala,,,,,
Migera Medical Clinic,9194940118,clinic,,,Nakasongola,1.40818517,32.26266662,,,,,,
WHO OFFICE,11073166758,hospital,,,Lira,2.25910333,32.90207122,,,,,,
HEALTH UNIT,11001734078,clinic,,,Bundibugyo,0.64258616,30.01965718,,,,,,
Private Clinic,5215672052,clinic,Refugee,,Yumbe,3.45887235,31.35272713,,,,,,
Nindye HC III,8715246,clinic,Ministry of Health,,Mpigi,-0.04327011,31.98818184,,,,,,
Mubunga Medical Centre,10147626097,clinic,private,operational,Bundibugyo,0.84605326,30.17308322,,,,,,
IRC-ACF Koro Health Center,4502479523,clinic,International Rescue Comittee,,Yumbe,3.51958206,31.32985484,,,,,,
Life Care Drug Shop,5350681468,pharmacy,,,Madi Okollo,2.77539822,31.03644498,,,,,,
Twins Medical Center,7060880750,clinic,,,Kampala,0.36299286,32.56110353,,,,,,
HEALTH CENTRE II,11001694793,clinic,,,Kalungu,-0.18812901,31.73405620,,,,,,
kasaana health centre II,12036104640,hospital,,,Sheema,-0.69920374,30.24019268,,,,,,
KIREKKA SDA,11010338429,clinic,,,Wakiso,0.33613037,32.64378539,,,,,,
MUTERERE,11056452057,hospital,,,Bugiri,0.40676542,33.80128917,,,,,,
Nasasa Health Centre,3946120548,clinic,,,Mbale,0.99782647,34.19819869,mbale,,,,,
St Maria Gorety Drug Shop,8632128796,pharmacy,private,,Zombo,2.44639662,30.99892666,,,,,1,
NTOROKO HEALTH CENTRE III,3197026,hospital,,,Ntoroko,1.04338413,30.53140304,,,,,,
MYANZI,11010338291,hospital,,,Kassanda,0.43446074,31.94188004,,,,,,
Marina Medical Centre,8141975117,clinic,,,Kabarole,0.65361029,30.24781753,,,,,,
HEALTH CENTRE II,11001654292,clinic,,,Ssembabule,-0.19487594,31.50255105,,,,,,
Kibuye General Clinic,4100092143,clinic,,,Kampala,0.29285259,32.57398467,Kampala,,,,,
